DBN,Number of Test Takers,TOTAL REGISTER.max,AVERAGE CLASS SIZE.max,SIZE OF SMALLEST CLASS.max,SIZE OF LARGEST CLASS.max,SCHOOLWIDE PUPIL-TEACHER RATIO.max,TOTAL REGISTER.min,AVERAGE CLASS SIZE.min,SIZE OF SMALLEST CLASS.min,SIZE OF LARGEST CLASS.min,SCHOOLWIDE PUPIL-TEACHER RATIO.min,TOTAL REGISTER.mean,AVERAGE CLASS SIZE.mean,SIZE OF SMALLEST CLASS.mean,SIZE OF LARGEST CLASS.mean,SCHOOLWIDE PUPIL-TEACHER RATIO.mean,SCHOOLWIDE PUPIL-TEACHER RATIO,DISTRICT,PEER INDEX*,2009-2010 OVERALL SCORE,2009-2010 ENVIRONMENT CATEGORY SCORE,2009-2010 PERFORMANCE CATEGORY SCORE,2009-2010 PROGRESS CATEGORY SCORE,2009-2010 ADDITIONAL CREDIT,COUNT PARTICIPANTS,COUNT FEMALE,PERCENT FEMALE,COUNT MALE,PERCENT MALE,COUNT GENDER UNKNOWN,PERCENT GENDER UNKNOWN,COUNT GENDER TOTAL,PERCENT GENDER TOTAL,COUNT PACIFIC ISLANDER,COUNT HISPANIC LATINO,PERCENT HISPANIC LATINO,COUNT AMERICAN INDIAN,PERCENT AMERICAN INDIAN,COUNT ASIAN NON HISPANIC,PERCENT ASIAN NON HISPANIC,COUNT WHITE NON HISPANIC,PERCENT WHITE NON HISPANIC,COUNT BLACK NON HISPANIC,PERCENT BLACK NON HISPANIC,COUNT OTHER ETHNICITY,PERCENT OTHER ETHNICITY,COUNT ETHNICITY UNKNOWN,PERCENT ETHNICITY UNKNOWN,COUNT ETHNICITY TOTAL,PERCENT ETHNICITY TOTAL,COUNT PERMANENT RESIDENT ALIEN,PERCENT PERMANENT RESIDENT ALIEN,COUNT US CITIZEN,PERCENT US CITIZEN,COUNT OTHER CITIZEN STATUS,PERCENT OTHER CITIZEN STATUS,COUNT CITIZEN STATUS UNKNOWN,PERCENT CITIZEN STATUS UNKNOWN,COUNT CITIZEN STATUS TOTAL,PERCENT CITIZEN STATUS TOTAL,COUNT RECEIVES PUBLIC ASSISTANCE,PERCENT RECEIVES PUBLIC ASSISTANCE,COUNT NRECEIVES PUBLIC ASSISTANCE,PERCENT NRECEIVES PUBLIC ASSISTANCE,COUNT PUBLIC ASSISTANCE UNKNOWN,PERCENT PUBLIC ASSISTANCE UNKNOWN,COUNT PUBLIC ASSISTANCE TOTAL,PERCENT PUBLIC ASSISTANCE TOTAL,YTD % Attendance (Avg),YTD Enrollment(Avg),2009-2010 OVERALL GRADE_is_nan,2009-2010 OVERALL GRADE_is_A,2009-2010 OVERALL GRADE_is_B,2009-2010 OVERALL GRADE_is_C,2009-2010 OVERALL GRADE_is_D,2009-2010 OVERALL GRADE_is_F,2009-2010 ENVIRONMENT GRADE_is_nan,2009-2010 ENVIRONMENT GRADE_is_A,2009-2010 ENVIRONMENT GRADE_is_B,2009-2010 ENVIRONMENT GRADE_is_C,2009-2010 ENVIRONMENT GRADE_is_D,2009-2010 ENVIRONMENT GRADE_is_F,2009-2010 PERFORMANCE GRADE_is_nan,2009-2010 PERFORMANCE GRADE_is_A,2009-2010 PERFORMANCE GRADE_is_B,2009-2010 PERFORMANCE GRADE_is_C,2009-2010 PERFORMANCE GRADE_is_D,2009-2010 PERFORMANCE GRADE_is_F,2009-2010 PROGRESS GRADE_is_nan,2009-2010 PROGRESS GRADE_is_A,2009-2010 PROGRESS GRADE_is_B,2009-2010 PROGRESS GRADE_is_C,2009-2010 PROGRESS GRADE_is_D,2009-2010 PROGRESS GRADE_is_F,2008-09 PROGRESS REPORT GRADE_is_nan,2008-09 PROGRESS REPORT GRADE_is_A,2008-09 PROGRESS REPORT GRADE_is_B,2008-09 PROGRESS REPORT GRADE_is_C,2008-09 PROGRESS REPORT GRADE_is_D,2008-09 PROGRESS REPORT GRADE_is_F
M475,804,1750.0,34.0,34.0,35.0,22.1,34.0,28.1,11.0,32.0,22.1,857.375,31.9875,25.75,33.9375,22.1,22.1,2.0,4.03,72.2,8.9,23.7,39.6,0.0,124,70,0.56,54,0.44,0,0,124,100,0,28,0.23,0,0.0,54,0.44,1,0.01,37,0.3,4,0.03,0,0.0,124,100,7,0.06,117,0.94,0,0.0,0,0,124,100,38,0.31,86,0.69,0,0,124,100,89.01,60823,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
M489,147,436.0,34.0,34.0,34.0,18.0,11.0,11.0,11.0,11.0,18.0,111.588235294,26.3588235294,23.2647058824,29.0,18.0,18.0,2.0,2.79,57.2,6.4,15.8,33.5,1.5,124,70,0.56,54,0.44,0,0,124,100,0,28,0.23,0,0.0,54,0.44,1,0.01,37,0.3,4,0.03,0,0.0,124,100,7,0.06,117,0.94,0,0.0,0,0,124,100,38,0.31,86,0.69,0,0,124,100,89.01,60823,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
M500,31,206.0,30.0,29.0,33.0,17.4,11.0,10.5,10.0,11.0,17.4,52.2857142857,22.0380952381,19.7142857143,24.4285714286,17.4,17.4,2.0,1.95,89.3,12.8,17.9,57.1,1.5,124,70,0.56,54,0.44,0,0,124,100,0,28,0.23,0,0.0,54,0.44,1,0.01,37,0.3,4,0.03,0,0.0,124,100,7,0.06,117,0.94,0,0.0,0,0,124,100,38,0.31,86,0.69,0,0,124,100,89.01,60823,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
M519,124,321.0,31.3,29.0,34.0,19.5,27.0,18.6,11.0,27.0,19.5,111.933333333,25.6066666667,19.4666666667,31.4666666667,19.5,19.5,2.0,3.18,74.0,6.4,20.9,43.7,3.0,124,70,0.56,54,0.44,0,0,124,100,0,28,0.23,0,0.0,54,0.44,1,0.01,37,0.3,4,0.03,0,0.0,124,100,7,0.06,117,0.94,0,0.0,0,0,124,100,38,0.31,86,0.69,0,0,124,100,89.01,60823,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
M520,287,1504.0,32.5,32.0,35.0,16.2,10.0,10.0,10.0,10.0,16.2,301.473684211,24.7657894737,20.2631578947,27.4736842105,16.2,16.2,2.0,2.47,42.8,5.7,12.1,20.5,4.5,124,70,0.56,54,0.44,0,0,124,100,0,28,0.23,0,0.0,54,0.44,1,0.01,37,0.3,4,0.03,0,0.0,124,100,7,0.06,117,0.94,0,0.0,0,0,124,100,38,0.31,86,0.69,0,0,124,100,89.01,60823,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
M529,88,436.0,31.7,31.0,34.0,15.6,16.0,11.0,10.0,12.0,15.6,109.607142857,24.9857142857,21.3214285714,28.0,15.6,15.6,2.0,2.48,58.5,6.2,19.5,28.3,4.5,124,70,0.56,54,0.44,0,0,124,100,0,28,0.23,0,0.0,54,0.44,1,0.01,37,0.3,4,0.03,0,0.0,124,100,7,0.06,117,0.94,0,0.0,0,0,124,100,38,0.31,86,0.69,0,0,124,100,89.01,60823,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
M531,32,137.0,29.5,29.0,31.0,15.1,18.0,15.0,12.0,16.0,15.1,61.5,22.25,19.5714285714,24.6428571429,15.1,15.1,2.0,2.82,73.9,9.6,17.4,43.9,3.0,124,70,0.56,54,0.44,0,0,124,100,0,28,0.23,0,0.0,54,0.44,1,0.01,37,0.3,4,0.03,0,0.0,124,100,7,0.06,117,0.94,0,0.0,0,0,124,100,38,0.31,86,0.69,0,0,124,100,89.01,60823,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
M542,31,475.0,30.6,27.0,33.0,14.8,35.0,15.3,10.0,19.0,14.8,135.0,23.4333333333,17.2666666667,28.2666666667,14.8,14.8,2.0,2.32,93.9,12.3,20.9,51.7,9.0,124,70,0.56,54,0.44,0,0,124,100,0,28,0.23,0,0.0,54,0.44,1,0.01,37,0.3,4,0.03,0,0.0,124,100,7,0.06,117,0.94,0,0.0,0,0,124,100,38,0.31,86,0.69,0,0,124,100,89.01,60823,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
M543,74,154.0,28.0,28.0,29.0,11.9,23.0,18.3,12.0,19.0,11.9,69.16,23.232,21.52,24.92,11.9,11.9,2.0,2.38,70.3,8.4,16.4,39.5,6.0,124,70,0.56,54,0.44,0,0,124,100,0,28,0.23,0,0.0,54,0.44,1,0.01,37,0.3,4,0.03,0,0.0,124,100,7,0.06,117,0.94,0,0.0,0,0,124,100,38,0.31,86,0.69,0,0,124,100,89.01,60823,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
M545,47,224.0,27.7,27.0,31.0,11.5,23.0,18.0,11.0,21.0,11.5,95.0714285714,22.3357142857,17.7857142857,26.2857142857,11.5,11.5,2.0,3.14,90.5,9.4,25.0,53.1,3.0,124,70,0.56,54,0.44,0,0,124,100,0,28,0.23,0,0.0,54,0.44,1,0.01,37,0.3,4,0.03,0,0.0,124,100,7,0.06,117,0.94,0,0.0,0,0,124,100,38,0.31,86,0.69,0,0,124,100,89.01,60823,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
M551,54,,,,,,,,,,,,,,,,,2.0,2.2,80.1,9.9,18.4,44.3,7.5,124,70,0.56,54,0.44,0,0,124,100,0,28,0.23,0,0.0,54,0.44,1,0.01,37,0.3,4,0.03,0,0.0,124,100,7,0.06,117,0.94,0,0.0,0,0,124,100,38,0.31,86,0.69,0,0,124,100,89.01,60823,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
M580,79,404.0,35.0,35.0,35.0,14.1,10.0,10.0,10.0,10.0,14.1,93.24,26.544,23.96,29.08,14.1,14.1,2.0,2.43,50.7,10.4,12.6,26.2,1.5,124,70,0.56,54,0.44,0,0,124,100,0,28,0.23,0,0.0,54,0.44,1,0.01,37,0.3,4,0.03,0,0.0,124,100,7,0.06,117,0.94,0,0.0,0,0,124,100,38,0.31,86,0.69,0,0,124,100,89.01,60823,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
M600,301,885.0,33.6,33.0,34.0,18.5,10.0,10.0,10.0,10.0,18.5,195.296296296,27.3703703704,25.037037037,28.7037037037,18.5,18.5,2.0,2.74,92.4,7.5,21.7,48.2,15.0,124,70,0.56,54,0.44,0,0,124,100,0,28,0.23,0,0.0,54,0.44,1,0.01,37,0.3,4,0.03,0,0.0,124,100,7,0.06,117,0.94,0,0.0,0,0,124,100,38,0.31,86,0.69,0,0,124,100,89.01,60823,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
M615,61,245.0,34.0,34.0,34.0,15.9,6.0,5.0,5.0,5.0,15.9,79.5333333333,23.4533333333,20.5333333333,26.4333333333,15.9,15.9,2.0,2.4,55.8,6.1,7.2,38.0,4.5,124,70,0.56,54,0.44,0,0,124,100,0,28,0.23,0,0.0,54,0.44,1,0.01,37,0.3,4,0.03,0,0.0,124,100,7,0.06,117,0.94,0,0.0,0,0,124,100,38,0.31,86,0.69,0,0,124,100,89.01,60823,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
M620,152,1513.0,32.0,32.0,35.0,16.8,13.0,11.5,10.0,12.0,16.8,227.4,23.1085714286,17.7428571429,26.4,16.8,16.8,2.0,2.2,36.0,4.3,8.4,23.3,1.5,124,70,0.56,54,0.44,0,0,124,100,0,28,0.23,0,0.0,54,0.44,1,0.01,37,0.3,4,0.03,0,0.0,124,100,7,0.06,117,0.94,0,0.0,0,0,124,100,38,0.31,86,0.69,0,0,124,100,89.01,60823,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
M625,125,1182.0,33.0,33.0,40.0,16.4,10.0,10.0,10.0,10.0,16.4,304.666666667,22.6333333333,15.8888888889,28.037037037,16.4,16.4,2.0,2.24,41.5,6.6,5.6,29.3,0.0,124,70,0.56,54,0.44,0,0,124,100,0,28,0.23,0,0.0,54,0.44,1,0.01,37,0.3,4,0.03,0,0.0,124,100,7,0.06,117,0.94,0,0.0,0,0,124,100,38,0.31,86,0.69,0,0,124,100,89.01,60823,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
M630,212,764.0,36.2,35.0,65.0,17.7,10.0,10.0,10.0,10.0,17.7,181.903225806,25.8032258065,22.3548387097,28.5483870968,17.7,17.7,2.0,2.83,61.8,5.4,13.1,35.8,7.5,124,70,0.56,54,0.44,0,0,124,100,0,28,0.23,0,0.0,54,0.44,1,0.01,37,0.3,4,0.03,0,0.0,124,100,7,0.06,117,0.94,0,0.0,0,0,124,100,38,0.31,86,0.69,0,0,124,100,89.01,60823,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
M655,71,324.0,56.0,56.0,56.0,14.9,11.0,11.0,10.0,11.0,14.9,86.34375,23.71875,20.25,26.84375,14.9,14.9,2.0,2.26,72.2,6.7,21.6,37.9,6.0,124,70,0.56,54,0.44,0,0,124,100,0,28,0.23,0,0.0,54,0.44,1,0.01,37,0.3,4,0.03,0,0.0,124,100,7,0.06,117,0.94,0,0.0,0,0,124,100,38,0.31,86,0.69,0,0,124,100,89.01,60823,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
M690,14,39.0,20.0,20.0,27.0,12.9,12.0,11.0,10.0,12.0,12.9,20.6666666667,15.2777777778,13.6666666667,16.8888888889,12.9,12.9,2.0,,,,,,,124,70,0.56,54,0.44,0,0,124,100,0,28,0.23,0,0.0,54,0.44,1,0.01,37,0.3,4,0.03,0,0.0,124,100,7,0.06,117,0.94,0,0.0,0,0,124,100,38,0.31,86,0.69,0,0,124,100,89.01,60823,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
M283,23,262.0,31.0,31.0,34.0,20.8,23.0,16.5,13.0,18.0,20.8,92.4705882353,27.3823529412,24.5882352941,29.1176470588,20.8,20.8,3.0,2.21,48.0,6.8,8.6,29.6,3.0,38,26,0.68,12,0.32,0,0,38,100,0,18,0.47,0,0.0,1,0.03,3,0.08,14,0.37,1,0.03,1,0.03,38,100,3,0.08,35,0.92,0,0.0,0,0,38,100,14,0.37,24,0.63,0,0,38,100,89.28,21962,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
M299,57,249.0,34.0,34.0,34.0,14.8,13.0,13.0,11.0,13.0,14.8,75.1739130435,24.7565217391,20.1739130435,28.4782608696,14.8,14.8,3.0,2.15,67.6,8.0,20.4,33.2,6.0,38,26,0.68,12,0.32,0,0,38,100,0,18,0.47,0,0.0,1,0.03,3,0.08,14,0.37,1,0.03,1,0.03,38,100,3,0.08,35,0.92,0,0.0,0,0,38,100,14,0.37,24,0.63,0,0,38,100,89.28,21962,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
M307,53,204.0,26.5,26.0,27.0,16.8,17.0,17.0,17.0,17.0,16.8,53.8260869565,21.9608695652,20.5652173913,23.1739130435,16.8,16.8,3.0,2.19,74.1,9.4,15.1,42.1,7.5,38,26,0.68,12,0.32,0,0,38,100,0,18,0.47,0,0.0,1,0.03,3,0.08,14,0.37,1,0.03,1,0.03,38,100,3,0.08,35,0.92,0,0.0,0,0,38,100,14,0.37,24,0.63,0,0,38,100,89.28,21962,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
M415,68,313.0,31.5,29.0,35.0,12.0,4.0,4.0,4.0,4.0,12.0,87.5555555556,20.1444444444,16.2222222222,24.6666666667,12.0,12.0,3.0,2.08,60.0,5.0,20.1,31.9,3.0,38,26,0.68,12,0.32,0,0,38,100,0,18,0.47,0,0.0,1,0.03,3,0.08,14,0.37,1,0.03,1,0.03,38,100,3,0.08,35,0.92,0,0.0,0,0,38,100,14,0.37,24,0.63,0,0,38,100,89.28,21962,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
M470,170,1206.0,30.3,26.0,34.0,16.7,12.0,11.5,10.0,12.0,16.7,227.428571429,21.275,16.0,25.6071428571,16.7,16.7,3.0,,,,,,,38,26,0.68,12,0.32,0,0,38,100,0,18,0.47,0,0.0,1,0.03,3,0.08,14,0.37,1,0.03,1,0.03,38,100,3,0.08,35,0.92,0,0.0,0,0,38,100,14,0.37,24,0.63,0,0,38,100,89.28,21962,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
M479,237,782.0,33.0,33.0,34.0,20.7,26.0,26.0,20.0,26.0,20.7,206.0,29.880952381,26.8571428571,31.619047619,20.7,20.7,3.0,3.51,74.5,9.3,13.7,48.5,3.0,38,26,0.68,12,0.32,0,0,38,100,0,18,0.47,0,0.0,1,0.03,3,0.08,14,0.37,1,0.03,1,0.03,38,100,3,0.08,35,0.92,0,0.0,0,0,38,100,14,0.37,24,0.63,0,0,38,100,89.28,21962,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
M485,594,1071.0,33.1,30.0,40.0,18.5,38.0,19.0,11.0,20.0,18.5,524.625,29.75,18.375,33.4375,18.5,18.5,3.0,3.64,79.0,7.4,23.1,48.5,0.0,38,26,0.68,12,0.32,0,0,38,100,0,18,0.47,0,0.0,1,0.03,3,0.08,14,0.37,1,0.03,1,0.03,38,100,3,0.08,35,0.92,0,0.0,0,0,38,100,14,0.37,24,0.63,0,0,38,100,89.28,21962,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
M494,60,291.0,34.0,34.0,34.0,17.7,12.0,12.0,10.0,12.0,17.7,97.1739130435,25.5826086957,21.0869565217,29.5652173913,17.7,17.7,3.0,2.34,62.2,6.8,14.5,39.4,1.5,38,26,0.68,12,0.32,0,0,38,100,0,18,0.47,0,0.0,1,0.03,3,0.08,14,0.37,1,0.03,1,0.03,38,100,3,0.08,35,0.92,0,0.0,0,0,38,100,14,0.37,24,0.63,0,0,38,100,89.28,21962,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
M541,80,185.0,28.8,26.0,32.0,16.7,24.0,16.0,10.0,18.0,16.7,110.928571429,22.6714285714,19.1428571429,26.4285714286,16.7,16.7,3.0,3.26,61.4,11.2,18.3,31.9,0.0,38,26,0.68,12,0.32,0,0,38,100,0,18,0.47,0,0.0,1,0.03,3,0.08,14,0.37,1,0.03,1,0.03,38,100,3,0.08,35,0.92,0,0.0,0,0,38,100,14,0.37,24,0.63,0,0,38,100,89.28,21962,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
M860,33,148.0,30.5,30.0,32.0,15.4,11.0,5.5,3.0,8.0,15.4,49.2727272727,22.7151515152,20.303030303,25.0,15.4,15.4,3.0,2.28,54.1,7.9,18.9,27.3,0.0,38,26,0.68,12,0.32,0,0,38,100,0,18,0.47,0,0.0,1,0.03,3,0.08,14,0.37,1,0.03,1,0.03,38,100,3,0.08,35,0.92,0,0.0,0,0,38,100,14,0.37,24,0.63,0,0,38,100,89.28,21962,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
M409,39,189.0,29.7,28.0,33.0,12.7,15.0,14.2,10.0,15.0,12.7,68.0476190476,20.0714285714,16.3333333333,24.2380952381,12.7,12.7,4.0,2.2,55.5,9.7,11.5,31.3,3.0,20,13,0.65,7,0.35,0,0,20,100,0,4,0.2,0,0.0,0,0.0,0,0.0,15,0.75,1,0.05,0,0.0,20,100,0,0.0,20,1.0,0,0.0,0,0,20,100,8,0.4,12,0.6,0,0,20,100,91.13,14252,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
M435,312,718.0,34.0,34.0,35.0,21.6,10.0,10.0,10.0,10.0,21.6,206.794117647,24.2470588235,20.0588235294,26.1470588235,21.6,21.6,4.0,3.1,60.9,6.4,16.2,38.3,0.0,20,13,0.65,7,0.35,0,0,20,100,0,4,0.2,0,0.0,0,0.0,0,0.0,15,0.75,1,0.05,0,0.0,20,100,0,0.0,20,1.0,0,0.0,0,0,20,100,8,0.4,12,0.6,0,0,20,100,91.13,14252,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
M495,46,200.0,24.5,23.0,27.0,12.5,11.0,11.0,11.0,11.0,12.5,74.7727272727,18.2772727273,15.7727272727,20.1818181818,12.5,12.5,4.0,2.09,82.6,10.5,18.5,46.1,7.5,20,13,0.65,7,0.35,0,0,20,100,0,4,0.2,0,0.0,0,0.0,0,0.0,15,0.75,1,0.05,0,0.0,20,100,0,0.0,20,1.0,0,0.0,0,0,20,100,8,0.4,12,0.6,0,0,20,100,91.13,14252,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
M555,35,161.0,31.0,31.0,34.0,13.2,23.0,14.3,11.0,16.0,13.2,52.0,24.4173913043,22.0,26.9565217391,13.2,13.2,4.0,2.53,72.3,12.9,10.9,47.0,1.5,20,13,0.65,7,0.35,0,0,20,100,0,4,0.2,0,0.0,0,0.0,0,0.0,15,0.75,1,0.05,0,0.0,20,100,0,0.0,20,1.0,0,0.0,0,0,20,100,8,0.4,12,0.6,0,0,20,100,91.13,14252,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
M610,48,261.0,27.7,25.0,31.0,16.5,20.0,16.7,14.0,17.0,16.5,93.4090909091,23.3409090909,21.1363636364,25.5454545455,16.5,16.5,4.0,3.05,70.4,12.5,20.2,37.7,0.0,20,13,0.65,7,0.35,0,0,20,100,0,4,0.2,0,0.0,0,0.0,0,0.0,15,0.75,1,0.05,0,0.0,20,100,0,0.0,20,1.0,0,0.0,0,0,20,100,8,0.4,12,0.6,0,0,20,100,91.13,14252,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
M635,39,312.0,31.0,31.0,32.0,14.7,9.0,9.0,9.0,9.0,14.7,81.0,19.436,16.88,21.52,14.7,14.7,4.0,2.06,32.7,6.0,6.7,20.0,0.0,20,13,0.65,7,0.35,0,0,20,100,0,4,0.2,0,0.0,0,0.0,0,0.0,15,0.75,1,0.05,0,0.0,20,100,0,0.0,20,1.0,0,0.0,0,0,20,100,8,0.4,12,0.6,0,0,20,100,91.13,14252,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
M680,47,160.0,29.7,28.0,33.0,13.1,14.0,14.0,10.0,14.0,13.1,61.652173913,22.6913043478,19.2173913043,25.347826087,13.1,13.1,4.0,2.13,50.7,4.3,15.0,29.9,1.5,20,13,0.65,7,0.35,0,0,20,100,0,4,0.2,0,0.0,0,0.0,0,0.0,15,0.75,1,0.05,0,0.0,20,100,0,0.0,20,1.0,0,0.0,0,0,20,100,8,0.4,12,0.6,0,0,20,100,91.13,14252,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
M695,23,20.0,20.0,20.0,20.0,10.5,14.0,14.0,14.0,14.0,10.5,17.4,17.4,17.4,17.4,10.5,10.5,4.0,,,,,,,20,13,0.65,7,0.35,0,0,20,100,0,4,0.2,0,0.0,0,0.0,0,0.0,15,0.75,1,0.05,0,0.0,20,100,0,0.0,20,1.0,0,0.0,0,0,20,100,8,0.4,12,0.6,0,0,20,100,91.13,14252,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
M304,63,192.0,34.0,34.0,36.0,15.3,11.0,11.0,11.0,11.0,15.3,60.3928571429,25.175,22.9642857143,27.6071428571,15.3,15.3,5.0,2.53,65.5,9.2,19.2,37.1,0.0,7,4,0.57,3,0.43,0,0,7,100,0,1,0.14,0,0.0,1,0.14,0,0.0,4,0.57,1,0.14,0,0.0,7,99,1,0.14,6,0.86,0,0.0,0,0,7,100,1,0.14,6,0.86,0,0,7,100,89.08,13170,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
M369,34,98.0,34.0,34.0,34.0,13.2,29.0,19.0,15.0,21.0,13.2,56.1,27.41,25.1,29.95,13.2,13.2,5.0,2.46,70.9,4.7,15.6,46.1,4.5,7,4,0.57,3,0.43,0,0,7,100,0,1,0.14,0,0.0,1,0.14,0,0.0,4,0.57,1,0.14,0,0.0,7,99,1,0.14,6,0.86,0,0.0,0,0,7,100,1,0.14,6,0.86,0,0,7,100,89.08,13170,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
M469,16,185.0,28.5,28.0,32.0,12.3,16.0,6.3,3.0,9.0,12.3,62.5,20.085,16.75,23.3,12.3,12.3,5.0,2.43,62.5,7.5,12.9,42.1,0.0,7,4,0.57,3,0.43,0,0,7,100,0,1,0.14,0,0.0,1,0.14,0,0.0,4,0.57,1,0.14,0,0.0,7,99,1,0.14,6,0.86,0,0.0,0,0,7,100,1,0.14,6,0.86,0,0,7,100,89.08,13170,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
M499,216,788.0,33.5,33.0,35.0,17.7,20.0,10.2,7.0,12.0,17.7,195.857142857,25.8476190476,21.380952381,28.5238095238,17.7,17.7,5.0,3.14,40.6,3.7,11.5,20.9,4.5,7,4,0.57,3,0.43,0,0,7,100,0,1,0.14,0,0.0,1,0.14,0,0.0,4,0.57,1,0.14,0,0.0,7,99,1,0.14,6,0.86,0,0.0,0,0,7,100,1,0.14,6,0.86,0,0,7,100,89.08,13170,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
M670,52,274.0,33.0,33.0,33.0,15.6,16.0,16.0,12.0,16.0,15.6,76.4375,23.803125,21.90625,26.03125,15.6,15.6,5.0,2.66,63.1,9.0,12.0,39.1,3.0,7,4,0.57,3,0.43,0,0,7,100,0,1,0.14,0,0.0,1,0.14,0,0.0,4,0.57,1,0.14,0,0.0,7,99,1,0.14,6,0.86,0,0.0,0,0,7,100,1,0.14,6,0.86,0,0,7,100,89.08,13170,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
